"from","to","from_class","to_class","edge_class"
"AAR","DA","person","person","person-to-person"
"AAR","H","person","person","person-to-person"
"AAR","JA","person","person","person-to-person"
"AAR","JGG","person","person","person-to-person"
"AAR","JLAR","person","person","person-to-person"
"AAR","PA","person","person","person-to-person"
"AAR","R","person","person","person-to-person"
"AAR","RRS","person","person","person-to-person"
"AAR","SAR","person","person","person-to-person"
"AAR","VA","person","person","person-to-person"
"AL","SAR","person","person","person-to-person"
"AN","EEG","person","person","person-to-person"
"ASB","MMM","person","person","person-to-person"
"CEPO","EEG","person","person","person-to-person"
"CEPO","H","person","person","person-to-person"
"CEPO","HO","person","person","person-to-person"
"CEPO","JCR","person","person","person-to-person"
"CEPO","JLAR","person","person","person-to-person"
"CEPO","JMMM","person","person","person-to-person"
"CEPO","MMM","person","person","person-to-person"
"CEPO","SAR","person","person","person-to-person"
"CEPO","VA","person","person","person-to-person"
"EEG","H","person","person","person-to-person"
"H","JMMM","person","person","person-to-person"
"JA","SAR","person","person","person-to-person"
"JCR","MMM","person","person","person-to-person"
"JCR","SAR","person","person","person-to-person"
"JCT","T","person","person","person-to-person"
"JFS","MMM","person","person","person-to-person"
"JLAR","SAR","person","person","person-to-person"
"JMMM","SAR","person","person","person-to-person"
"JOR","SAR","person","person","person-to-person"
"MMM","SAR","person","person","person-to-person"
"NA","SAR","person","person","person-to-person"
"R","SAR","person","person","person-to-person"
"RRS","SAR","person","person","person-to-person"
"SAR","T","person","person","person-to-person"
