"from","to","from_class","to_class","edge_class","Kinship","edge_time","edge_code","kinship"
"577","1558","person","person","Friends/Moderately close family ties",0,"1985_1989",2,"no kinship"
"598","1595","person","person","Close Friends/Family",3,"1985_1989",3,"sibling"
"1509","1580","person","person","Acquaintances/Distant familiy ties",2,"1985_1989",1,"cousins"
"577","1558","person","person","Friends/Moderately close family ties",0,"1985_1989",2,"no kinship"
"1509","1580","person","person","Acquaintances/Distant familiy ties",2,"1985_1989",1,"cousins"
"598","1595","person","person","Close Friends/Family",3,"1985_1989",3,"sibling"
"577","1558","person","person","Friends/Moderately close family ties",0,"1990_1994",2,"no kinship"
"598","1595","person","person","Close Friends/Family",3,"1990_1994",3,"sibling"
"800","1580","person","person","Friends/Moderately close family ties",0,"1990_1994",2,"no kinship"
"1509","1580","person","person","Acquaintances/Distant familiy ties",2,"1990_1994",1,"cousins"
"1556","1580","person","person","Acquaintances/Distant familiy ties",0,"1990_1994",1,"no kinship"
"1556","1595","person","person","Acquaintances/Distant familiy ties",0,"1990_1994",1,"no kinship"
"577","1558","person","person","Friends/Moderately close family ties",0,"1990_1994",2,"no kinship"
"800","1580","person","person","Friends/Moderately close family ties",0,"1990_1994",2,"no kinship"
"1509","1580","person","person","Acquaintances/Distant familiy ties",2,"1990_1994",1,"cousins"
"1556","1580","person","person","Acquaintances/Distant familiy ties",0,"1990_1994",1,"no kinship"
"1580","1595","person","person","Acquaintances/Distant familiy ties",0,"1990_1994",1,"no kinship"
"598","1595","person","person","Close Friends/Family",3,"1990_1994",3,"sibling"
"1556","1595","person","person","Acquaintances/Distant familiy ties",0,"1990_1994",1,"no kinship"
"1580","1595","person","person","Acquaintances/Distant familiy ties",0,"1990_1994",1,"no kinship"
"177","1579","person","person","Friends/Moderately close family ties",0,"1995_1999",2,"no kinship"
"577","1558","person","person","Friends/Moderately close family ties",0,"1995_1999",2,"no kinship"
"598","1595","person","person","Close Friends/Family",3,"1995_1999",3,"sibling"
"800","1580","person","person","Friends/Moderately close family ties",0,"1995_1999",2,"no kinship"
"801","1582","person","person","Acquaintances/Distant familiy ties",0,"1995_1999",1,"no kinship"
"802","1590","person","person","Acquaintances/Distant familiy ties",0,"1995_1999",1,"no kinship"
"1504","1563","person","person","Acquaintances/Distant familiy ties",0,"1995_1999",1,"no kinship"
"1507","1590","person","person","Acquaintances/Distant familiy ties",0,"1995_1999",1,"no kinship"
"1509","1580","person","person","Acquaintances/Distant familiy ties",2,"1995_1999",1,"cousins"
