"from","to","from_class","to_class","edge_class","Kinship","edge_time","edge_code","kinship"
"800","1580","person","person","Friends/Moderately close family ties",NA,"1990_1994",2,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1990_1994",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1990_1994",2,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1990_1994",1,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1990_1994",1,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1990_1994",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1990_1994",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1990_1994",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1995",1,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1995",1,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1995",1,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1995",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1995",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"816","819","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"816","824","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"816","819","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"819","824","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"816","824","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"819","824","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1996",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1996",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"816","819","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"816","824","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"816","819","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"819","824","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"816","824","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"819","824","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1997",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1997",2,NA
"177","834","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"812","834","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"816","819","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"816","824","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"816","819","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"819","824","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"816","824","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"819","824","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"177","834","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"812","834","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"834","835","person","person","Acquaintances/Distant familiy ties",NA,"1998",1,NA
"824","838","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1998",2,NA
"177","834","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"177","1579","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"594","595","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"594","595","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"800","1580","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"812","816","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"812","819","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"812","824","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"812","834","person","person","Friends/Moderately close family ties",NA,"1999",2,NA
"812","835","person","person","Acquaintances/Distant familiy ties",NA,"1999",1,NA
