"from","to","from_class","to_class","edge_class"
"A","CPGT","person","person","person-to-person"
"A","HPM","person","person","person-to-person"
"AP","ELM","person","person","person-to-person"
"AP","JPPM","person","person","person-to-person"
"AP","RS","person","person","person-to-person"
"ARG","JDD","person","person","person-to-person"
"ARG","JPPM","person","person","person-to-person"
"CPGT","GA","person","person","person-to-person"
"CPGT","JPPM","person","person","person-to-person"
"CPGT","PCCP","person","person","person-to-person"
"CPGT","SNRM","person","person","person-to-person"
"CPGT","YPMG","person","person","person-to-person"
"EDRS","SNRM","person","person","person-to-person"
"ELM","FR","person","person","person-to-person"
"ELM","HPM","person","person","person-to-person"
"ELM","JB","person","person","person-to-person"
"ELM","JDD","person","person","person-to-person"
"ELM","JPPM","person","person","person-to-person"
"ELM","LIRP","person","person","person-to-person"
"ELM","RS","person","person","person-to-person"
"ELM","SNRM","person","person","person-to-person"
"ERC","JEAB","person","person","person-to-person"
"ERC","JHLM","person","person","person-to-person"
"FR","JDD","person","person","person-to-person"
"FR","JPPM","person","person","person-to-person"
"FR","PCCP","person","person","person-to-person"
"HAMS","JEAB","person","person","person-to-person"
"HAMS","JJTE","person","person","person-to-person"
"HAMS","JPPM","person","person","person-to-person"
"HAMS","SNRM","person","person","person-to-person"
"HAMS","YPMG","person","person","person-to-person"
"HPM","JPPM","person","person","person-to-person"
"HPM","RS","person","person","person-to-person"
"JB","JPPM","person","person","person-to-person"
"JB","SNRM","person","person","person-to-person"
"JDD","JPPM","person","person","person-to-person"
"JDD","OS","person","person","person-to-person"
"JE","SNRM","person","person","person-to-person"
"JEAB","JHLM","person","person","person-to-person"
"JEAB","SNRM","person","person","person-to-person"
"JG","JJTE","person","person","person-to-person"
"JG","SNRM","person","person","person-to-person"
"JJTE","JV","person","person","person-to-person"
"JJTE","RAJH","person","person","person-to-person"
"JJTE","RB","person","person","person-to-person"
"JJTE","SNRM","person","person","person-to-person"
"JJTE","YPMG","person","person","person-to-person"
"JO","SNRM","person","person","person-to-person"
"JPPM","LIRP","person","person","person-to-person"
"JPPM","OS","person","person","person-to-person"
"JPPM","PCCP","person","person","person-to-person"
"JPPM","RS","person","person","person-to-person"
"JPPM","SNRM","person","person","person-to-person"
"LIRP","RS","person","person","person-to-person"
"PCCP","SNRM","person","person","person-to-person"
"SNRM","VR","person","person","person-to-person"
"SNRM","WGV","person","person","person-to-person"
"SNRM","YPMG","person","person","person-to-person"
