"from","to","from_class","to_class","edge_class"
"6D","DFM","person","person","person-to-person"
"6D","DN","person","person","person-to-person"
"6D","JJLH","person","person","person-to-person"
"ABF","DEAR","person","person","person-to-person"
"ABF","JLT","person","person","person-to-person"
"ABF","LGM","person","person","person-to-person"
"ABF","MDAA","person","person","person-to-person"
"ABF","OAMS","person","person","person-to-person"
"ABF","OJSR","person","person","person-to-person"
"ABF","RJZZ","person","person","person-to-person"
"ABF","RMP","person","person","person-to-person"
"AFPG","LGM","person","person","person-to-person"
"AHM","JJLH","person","person","person-to-person"
"ARS","OAMS","person","person","person-to-person"
"CAPV","FGV","person","person","person-to-person"
"CAPV","JDQJ","person","person","person-to-person"
"CAPV","OAMS","person","person","person-to-person"
"CAPV","OJSR","person","person","person-to-person"
"CAPV","RJZZ","person","person","person-to-person"
"CAPV","RMP","person","person","person-to-person"
"CAPV","V","person","person","person-to-person"
"CH","DFM","person","person","person-to-person"
"CH","RMP","person","person","person-to-person"
"CL","EHJ","person","person","person-to-person"
"CMP","OJSR","person","person","person-to-person"
"DEAR","LGM","person","person","person-to-person"
"DEAR","OJSR","person","person","person-to-person"
"DFM","MIAP","person","person","person-to-person"
"DFM","RMP","person","person","person-to-person"
"DLLS","OJMG","person","person","person-to-person"
"DLLS","RMP","person","person","person-to-person"
"EGM","EHJ","person","person","person-to-person"
"EGM","FDS","person","person","person-to-person"
"EGM","JLLO","person","person","person-to-person"
"EHJ","FARP","person","person","person-to-person"
"EHJ","FP","person","person","person-to-person"
"EHJ","JBH","person","person","person-to-person"
"EHJ","JC","person","person","person-to-person"
"EHJ","JJLH","person","person","person-to-person"
"EHJ","JLPC","person","person","person-to-person"
"EHJ","OJSR","person","person","person-to-person"
"EHJ","RJZZ","person","person","person-to-person"
"EO","FDS","person","person","person-to-person"
"FARP","JJLH","person","person","person-to-person"
"FARP","LGM","person","person","person-to-person"
"FDS","INB","person","person","person-to-person"
"FDS","JBH","person","person","person-to-person"
"FDS","JLLO","person","person","person-to-person"
"FDS","JLPC","person","person","person-to-person"
"FDS","MRG","person","person","person-to-person"
"FGV","OAMS","person","person","person-to-person"
"FGV","OJSR","person","person","person-to-person"
"GEBA","IN","person","person","person-to-person"
"GEBA","JJLH","person","person","person-to-person"
"GEBA","LGM","person","person","person-to-person"
"IN","JJLH","person","person","person-to-person"
"ING","RMM","person","person","person-to-person"
"IS","JLLO","person","person","person-to-person"
"JATC","JLLO","person","person","person-to-person"
"JAVM","OJSR","person","person","person-to-person"
"JAVM","RJZZ","person","person","person-to-person"
"JAVM","RMP","person","person","person-to-person"
"JBH","JLPC","person","person","person-to-person"
"JC","OJSR","person","person","person-to-person"
"JDQJ","JJVL","person","person","person-to-person"
"JDQJ","OAMS","person","person","person-to-person"
"JDQJ","OJSR","person","person","person-to-person"
"JHRR","OJSR","person","person","person-to-person"
"JJLH","RF","person","person","person-to-person"
"JJLH","RMM","person","person","person-to-person"
"JJVL","JLRL","person","person","person-to-person"
"JJVL","LGM","person","person","person-to-person"
"JJVL","OAMS","person","person","person-to-person"
"JJVL","OJSR","person","person","person-to-person"
"JLLO","MRG","person","person","person-to-person"
"JLRL","LGM","person","person","person-to-person"
"JLRL","OJSR","person","person","person-to-person"
"JLT","LGM","person","person","person-to-person"
"JLT","OJSR","person","person","person-to-person"
"LGM","MDAA","person","person","person-to-person"
"LGM","OJSR","person","person","person-to-person"
"MO","V","person","person","person-to-person"
"OAMS","OJSR","person","person","person-to-person"
"OAMS","RJZZ","person","person","person-to-person"
"OAMS","RMP","person","person","person-to-person"
"OJMG","RJZZ","person","person","person-to-person"
"OJMG","RMP","person","person","person-to-person"
"OJMG","SB","person","person","person-to-person"
"OJMG","V","person","person","person-to-person"
"OJSR","RJZZ","person","person","person-to-person"
"RJZZ","SB","person","person","person-to-person"
"RJZZ","V","person","person","person-to-person"
"SB","V","person","person","person-to-person"
