"from","to","from_class","to_class","type","edge_class"
"1","2","people","people",1,"Hang Out Together"
"1","3","people","people",1,"Hang Out Together"
"1","4","people","people",2,"Co-Offend Together"
"1","5","people","people",1,"Hang Out Together"
"1","6","people","people",1,"Hang Out Together"
"1","7","people","people",2,"Co-Offend Together"
"1","8","people","people",3,"Co-Offend Together, Serious Crime"
"1","9","people","people",2,"Co-Offend Together"
"1","10","people","people",2,"Co-Offend Together"
"1","11","people","people",3,"Co-Offend Together, Serious Crime"
"1","12","people","people",1,"Hang Out Together"
"1","17","people","people",1,"Hang Out Together"
"1","18","people","people",1,"Hang Out Together"
"1","20","people","people",2,"Co-Offend Together"
"1","21","people","people",2,"Co-Offend Together"
"1","22","people","people",3,"Co-Offend Together, Serious Crime"
"1","23","people","people",1,"Hang Out Together"
"1","25","people","people",1,"Hang Out Together"
"1","27","people","people",1,"Hang Out Together"
"1","28","people","people",1,"Hang Out Together"
"1","29","people","people",1,"Hang Out Together"
"1","43","people","people",1,"Hang Out Together"
"1","45","people","people",1,"Hang Out Together"
"1","46","people","people",1,"Hang Out Together"
"1","51","people","people",1,"Hang Out Together"
"2","3","people","people",3,"Co-Offend Together, Serious Crime"
"2","6","people","people",2,"Co-Offend Together"
"2","7","people","people",1,"Hang Out Together"
"2","8","people","people",2,"Co-Offend Together"
"2","9","people","people",1,"Hang Out Together"
"2","10","people","people",2,"Co-Offend Together"
"2","11","people","people",2,"Co-Offend Together"
"2","12","people","people",1,"Hang Out Together"
"2","13","people","people",1,"Hang Out Together"
"2","14","people","people",3,"Co-Offend Together, Serious Crime"
"2","16","people","people",2,"Co-Offend Together"
"2","18","people","people",1,"Hang Out Together"
"2","21","people","people",1,"Hang Out Together"
"2","22","people","people",2,"Co-Offend Together"
"2","23","people","people",2,"Co-Offend Together"
"2","25","people","people",1,"Hang Out Together"
"2","28","people","people",1,"Hang Out Together"
"2","29","people","people",3,"Co-Offend Together, Serious Crime"
"2","30","people","people",2,"Co-Offend Together"
"2","31","people","people",2,"Co-Offend Together"
"2","38","people","people",2,"Co-Offend Together"
"3","4","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"3","5","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"3","6","people","people",3,"Co-Offend Together, Serious Crime"
"3","7","people","people",1,"Hang Out Together"
"3","8","people","people",3,"Co-Offend Together, Serious Crime"
"3","9","people","people",2,"Co-Offend Together"
"3","10","people","people",2,"Co-Offend Together"
"3","12","people","people",1,"Hang Out Together"
"3","13","people","people",1,"Hang Out Together"
"3","14","people","people",3,"Co-Offend Together, Serious Crime"
"3","15","people","people",1,"Hang Out Together"
"3","18","people","people",1,"Hang Out Together"
"3","21","people","people",1,"Hang Out Together"
"3","22","people","people",1,"Hang Out Together"
"3","29","people","people",1,"Hang Out Together"
"3","33","people","people",2,"Co-Offend Together"
"3","34","people","people",2,"Co-Offend Together"
"3","35","people","people",2,"Co-Offend Together"
"3","36","people","people",2,"Co-Offend Together"
"3","54","people","people",2,"Co-Offend Together"
"4","5","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
